#EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2015
#THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

#Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
#air temperature and precipitation series for the European Climate Assessment.
#Int. J. of Climatol., 22, 1441-1453.
#Data and metadata available at http://www.ecad.eu

#FILE FORMAT (MISSING VALUE CODE IS -9999):

#01-06 STAID: Station identifier
#08-13 SOUID: Source identifier
#15-22 DATE : Date YYYYMMDD
#24-28 SS   : sunshine in 0.1 Hours
#30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

#This is the series (SOUID: 107654) of IRELAND, WATERFORD (TYCOR) (STAID: 1760)
#See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
  1760,107654,19621002,-9999,    9
  1760,107654,19621003,-9999,    9
  1760,107654,19621004,-9999,    9
  1760,107654,19621005,-9999,    9
  1760,107654,19621006,-9999,    9
  1760,107654,19621007,-9999,    9
  1760,107654,19621008,-9999,    9
  1760,107654,19621009,-9999,    9
  1760,107654,19621010,-9999,    9
  1760,107654,19621011,-9999,    9
  1760,107654,19621012,-9999,    9
  1760,107654,19621013,-9999,    9
  1760,107654,19621014,-9999,    9
  1760,107654,19621015,-9999,    9
  1760,107654,19621016,-9999,    9
  1760,107654,19621017,-9999,    9
  1760,107654,19621018,-9999,    9
  1760,107654,19621019,-9999,    9
  1760,107654,19621020,-9999,    9
  1760,107654,19621021,-9999,    9
  1760,107654,19621022,-9999,    9
  1760,107654,19621023,-9999,    9
  1760,107654,19621024,-9999,    9
  1760,107654,19621025,-9999,    9
  1760,107654,19621026,-9999,    9
  1760,107654,19621027,-9999,    9
  1760,107654,19621028,-9999,    9
  1760,107654,19621029,-9999,    9
  1760,107654,19621030,-9999,    9
  1760,107654,19621031,-9999,    9
  1760,107654,19621101,-9999,    9
  1760,107654,19621102,-9999,    9
  1760,107654,19621103,-9999,    9
  1760,107654,19621104,-9999,    9
  1760,107654,19621105,-9999,    9
  1760,107654,19621106,-9999,    9
  1760,107654,19621107,-9999,    9
  1760,107654,19621108,-9999,    9
  1760,107654,19621109,-9999,    9
  1760,107654,19621110,-9999,    9
  1760,107654,19621111,-9999,    9
  1760,107654,19621112,-9999,    9
  1760,107654,19621113,-9999,    9
  1760,107654,19621114,-9999,    9
  1760,107654,19621115,-9999,    9
  1760,107654,19621116,-9999,    9
  1760,107654,19621117,-9999,    9
  1760,107654,19621118,-9999,    9
  1760,107654,19621119,-9999,    9
  1760,107654,19621120,-9999,    9
  1760,107654,19621121,-9999,    9
  1760,107654,19621122,-9999,    9
  1760,107654,19621123,-9999,    9
  1760,107654,19621124,-9999,    9
  1760,107654,19621125,-9999,    9
  1760,107654,19621126,-9999,    9
  1760,107654,19621127,-9999,    9
  1760,107654,19621128,-9999,    9
  1760,107654,19621129,-9999,    9
  1760,107654,19621130,-9999,    9
  1760,107654,19621201,-9999,    9
  1760,107654,19621202,-9999,    9
  1760,107654,19621203,-9999,    9
  1760,107654,19621204,-9999,    9
  1760,107654,19621205,-9999,    9
  1760,107654,19621206,-9999,    9
  1760,107654,19621207,-9999,    9
  1760,107654,19621208,-9999,    9
  1760,107654,19621209,-9999,    9
  1760,107654,19621210,-9999,    9
  1760,107654,19621211,-9999,    9
  1760,107654,19621212,-9999,    9
  1760,107654,19621213,-9999,    9
  1760,107654,19621214,-9999,    9
  1760,107654,19621215,-9999,    9
  1760,107654,19621216,-9999,    9
  1760,107654,19621217,-9999,    9
  1760,107654,19621218,-9999,    9
  1760,107654,19621219,-9999,    9
  1760,107654,19621220,-9999,    9
  1760,107654,19621221,-9999,    9
  1760,107654,19621222,-9999,    9
  1760,107654,19621223,-9999,    9
  1760,107654,19621224,-9999,    9
  1760,107654,19621225,-9999,    9
  1760,107654,19621226,-9999,    9
  1760,107654,19621227,-9999,    9
  1760,107654,19621228,-9999,    9
  1760,107654,19621229,-9999,    9
  1760,107654,19621230,-9999,    9
  1760,107654,19621231,-9999,    9
  1760,107654,19630101,    0,    0
  1760,107654,19630102,    0,    0
  1760,107654,19630103,    0,    0
  1760,107654,19630104,    0,    0
  1760,107654,19630105,    0,    0
  1760,107654,19630106,    0,    0
  1760,107654,19630107,    9,    0
  1760,107654,19630108,    0,    0
  1760,107654,19630109,   29,    0
  1760,107654,19630110,    0,    0
  1760,107654,19630111,   27,    0
  1760,107654,19630112,   49,    0
  1760,107654,19630113,   60,    0
  1760,107654,19630114,   48,    0
  1760,107654,19630115,   20,    0
  1760,107654,19630116,    9,    0
  1760,107654,19630117,   62,    0
  1760,107654,19630118,   39,    0
  1760,107654,19630119,   59,    0
  1760,107654,19630120,    7,    0
  1760,107654,19630121,   42,    0
  1760,107654,19630122,    7,    0
  1760,107654,19630123,    3,    0
  1760,107654,19630124,    0,    0
  1760,107654,19630125,   47,    0
  1760,107654,19630126,   51,    0
  1760,107654,19630127,    0,    0
  1760,107654,19630128,    0,    0
  1760,107654,19630129,   19,    0
  1760,107654,19630130,    0,    0
  1760,107654,19630131,   40,    0
  1760,107654,19630201,   19,    0
  1760,107654,19630202,   38,    0
